stringsfile version 1
8840
str_no_string NO_STRING!
str_npc34_backstory_c If_noble_{Dominus/Domina}_could_take_us_two,_poor_Christian_souls,_away_of_this_city_and_redeem_ours_from_their_hate_towards_followers_of_Christ,_I_would_be_grateful.
str_npc35_backstory_c {!}
str_npc36_backstory_c I_was_a_different_person_back_then:_Authoritarian,_proud,_wrothful_and_brutal._I,_initially,_didn't_love_Ligia,_however_she_brought_my_interest_nevertherless._I_tried_to_court_her_-_unsuccesfully,_which_almost_resulted_in_tragedy,_and_my_demise_at_the_hands_of_Ligia's_guard,_Ursus._It_was_a_turning_point_in_my_life._First,_because_I_learned_that_Ligia_is_Christian._I_paid_a_Greek_to_spy_on_her_-_which_led_me_to_beknowing_Christian_community_myself._Second,_because_I_learned_that_Nero's_lifestyle_is_utterly_degenerate_and_amoral._I_lost_interest_in_it_-_leaving_the_Palace_to_itself._Instead,_I_dedicated_myself_to_a_more_noble_lifestyle,_became_accustomed_to_Christians_and_most_importantly,_learned_that_I_actually_love_Ligia_as_person,_not_as_'flesh'._I_am_looking_for_her_to_repent_for_my_sins_before_her,_but_while_I_am_doing_so,_I_certainly_would_need_to_find_a_means_to_make_a_living._Like_rejoining_the_military,_that_is.
str_npc37_backstory_c I_am_sure_I_can_be_valuable_for_you.
str_npc38_backstory_c That_man_was_a_rabbi_who_taught_me_the_most_important_lesson_of_all:_'Shma_Yisrael,_Adonai_Elohenu,_Adonai_Ehad._Hear_o_Israel,_the_Lord_is_the_only_G-D,_the_Lord_is_unique.',_those_lines_and_everything_that_came_after_them,_made_me_questioned_all_the_life_I_had_before,_for_months_I_got_out_of_my_house_in_secret_to_study_with_him_and_the_other_Jews,_I_knew_if_my_parents_discovered_problems_would_rise_and_well,_it_happened_unfortunately._You_see,_my_father_did_not_shared_the_same_opinion_as_mine_about_Judaism_and_my_master_died_soon_after_due_to_a_fever,_I_suspect_my_father_poisoned_him,_also_he_tried_to_force_me_unto_the_service_of_the_local_Jupiter's_temple,_so_I_took_all_the_money_and_food_I_could,_bought_a_horse_and_fled_from_home._The_thing_dominus_is_my_father_is_not_exactly_the_most_generous_of_men,_he_is_cheapskate_and_decided_to_put_a_bounty_onto_me,_can_you_imagine?_His_own_son!_That_man_values_money_more_than_even_his_own_family!_So_that's_how_it_is_right_now,_I'm_going_from_town_to_town,_my_aim_is_to_go_to_the_Holy_Land_of_Israel,_I_was_always_amazed_about_the_stories_I_heard_during_the_studies_so_going_with_you_is_a_good_chance_for_some_security,_so_what_do_you_say,_want_to_accept_me_in_your_company?
str_npc39_backstory_c {!}
str_npc40_backstory_c Thus,_I_am_a_famous_poet_too_and_composed_various_songs._You_may_want_to_hear_one?_Maybe_later_..._what_else_I_can_do?_I_am_a_fast_runner_and_I_know_how_to_ride._I_can_be_useful_as_messenger._I_am_famous_for_those_skills_in_{s20}._I_would_be_a_great_addition_for_you,_{Dominus/Domina}.
str_npc41_backstory_c {!}
str_npc42_backstory_c Chief,_I_want_to_leave_{s20}_and_earn_my_money_in_a_honest_way:_By_looting_the_death_bodies_of_enemy_warriors._You_may_be_looking_for_warriors,_chief?
str_npc1_backstory_later I've_been_here_and_about,_you_know,_doing_my_best_to_keep_out_of_trouble._I'm_desperately_in_need_of_work,_however.
str_npc2_backstory_later I_sold_my_boots_and_have_managed_to_make_a_few_denars_peddling_goods_from_town_to_town,_but_it's_a_hard_living.
str_npc3_backstory_later I_hired_myself_on_as_a_cook_for_some_passing_caravans,_and_that_at_least_keeps_me_fed._But_it_is_rough_company_on_the_road,_and_I_grow_weary_of_fighting_off_guards_and_others_who_would_try_to_take_liberties._I_was_thinking_that_if_I_could_find_work_as_a_warrior,_men_would_know_to_leave_me_alone.
str_npc4_backstory_later I_went_back_to_my_ancestral_lands,_to_inspect_my_lands._But_we_had_a_harsh_winter,_you_see,_and_bad_rains,_and_other_things,_so_here_I_am_again,_looking_for_work.
str_npc5_backstory_later I've_been_wandering_through_this_war-torn_land,_looking_for_a_leader_who_is_worth_following.
str_npc6_backstory_later I_have_been_wandering_through_the_world,_but_have_yet_to_find_redemption.
str_npc7_backstory_later I_have_been_wandering,_looking_for_work_as_a_tracker,_but_it_has_not_been_easy._humans_are_mostly_ill-bred,_lice-ridden,_and_ignorant,_and_it_is_not_easy_to_work_with_such_people.
str_npc8_backstory_later I_am_still_seeking_a_warlord_in_whose_shield-wall_I_would_fight._But_I_need_gold,_and_fast,_and_the_lords_of_this_land_as_often_as_not_prefer_to_stay_behind_the_walls_of_their_fortresses,_rather_march_out_to_where_glory_and_riches_can_be_won.
str_npc9_backstory_later I've_also_considered_to_join_a_mercenary_band._But_most_of_the_time,_those_mercenaries_are_hired_to_escort_caravans,_or_hunt_runaway_slaves_or_gladiators._Jobs_which_I_don't_find_fitting_for_a_man_of_my_origin.
str_npc10_backstory_later I_don't_know_if_I_told_you_or_not,_but_I_recently_struck_a_young_nobleman_who_I_owed_a_little_fortune._He_said,_I_would_be_crucified,_if_I_don't_pay..._Since_then_I've_been_laying_low._Thankfully_I_had_the_wit_to_pilfer_his_purse_before_heading_out,_but_the_money_is_running_low.
str_npc11_backstory_later I've_been_around_and_about_to_find_work_in_a_mercenary_band._But_it's_a_rare_captain_who'll_take_on_an_old_bag_of_bones_like_me_as_a_fighter,_even_if_I_could_whip_half_the_boys_in_his_outfit.
str_npc12_backstory_later I_have_been_here_and_about,_tending_to_the_sick_and_taking_what_reward_I_can._But_the_people_of_these_parts_are_ignorant,_and_have_little_respect_for_my_skills._The_few_denars_I_make_are_barely_enough_for_me_to_replenish_my_stock_of_medicine._I_should_be_grateful_for_the_chance_to_find_other_work.
str_npc13_backstory_later I_have_been_wandering_through_the_cities_of_the_world,_leaving_a_string_of_love-sick_women_and_cuckolded_husbands_in_my_wake._But_I_grow_weary_of_such_simple_challenges,_and_had_been_thinking_of_turning_myself_to_more_martial_pastimes.
str_npc14_backstory_later I_have_gone_from_land_to_land,_in_search_of_a_profession,_but_I_have_not_yet_found_a_general_who_is_to_my_liking.
str_npc15_backstory_later I've_been_going_from_town_to_town,_looking_to_see_if_walls_or_towers_need_repair._But_either_the_lord's_away,_or_he's_got_other_things_on_his_mind,_or_I_run_into_his_creditors_on_the_street,_begging_for_change,_and_I_realize_that_here's_one_job_not_to_take._So_if_you_hear_of_anything,_let_me_know.
str_npc16_backstory_later I_do_the_odd_job_from_time_to_time._But_there's_naught_like_steady_employment,_and_a_regular_run_of_corpses_to_loot.
str_npc17_backstory_later Ho,_there!_It's_you_again._How's_the_sea_been_treating_you?_If_you_need_a_good_skipper,_I'm_still_available.
str_npc18_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc19_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc20_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc21_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc22_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc23_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc24_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc25_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc26_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc27_backstory_later I_have_been_traveling_from_town_to_town_but_still_couldn't_find_any_job_satisfying_me.
str_npc28_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc29_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc30_backstory_later I_have_gone_from_land_to_land,_but_I_have_not_yet_found_a_commander_who_is_to_my_liking.
str_npc31_backstory_later {!}.
str_npc32_backstory_later Dominus!_I'm_glad_to_see_you_again._I_have_been_studying_very_hard,_like_you_said,_and_I'm_getting_better_every_day,_but_I_really_need_practice._I_think_I'm_ready!_Would_you_consider_signing_me_on_now?
str_npc33_backstory_later Dominus!_I'm_glad_to_see_you_again._I_have_been_studying_very_hard,_like_you_said,_and_I'm_getting_better_every_day,_but_I_really_need_practice._I_think_I'm_ready!_Would_you_consider_signing_me_on_now?
str_npc34_backstory_later Maybe_you_changed_your_mind?_Hiding_before_hateful_eyes_of_zealotry_people_here_is_painful_expierience.
str_npc35_backstory_later {!}
str_npc36_backstory_later Welcome_dear_friend._Maybe_I_could_enlist_your_service?
str_npc37_backstory_later I've_been_here_and_there_sightseeing_the_countryside_but_my_money_is_getting_short_and_there_still_so_much_out_there_to_see,_so_dominus_still_in_need_of_a_chronicler?
str_npc38_backstory_later I've_been_travelling_from_place_to_place,_if_the_city_has_a_Jewish_community_I_ask_for_shelter_but_do_not_stay_long_as_to_not_put_my_hosts_in_danger._If_not_I_try_to_sleep_wherever_I_can,_sometimes_in_an_inn_or_even_in_abandoned_buildings,_this_life_is_too_harsh,_pleas_dominus_reconsider_and_let_me_serve_in_your_company_of_soldiers.
str_npc39_backstory_later {!}
str_npc40_backstory_later I've_been_at_{s20}_and_trying_too_find_work._I_got_a_job,_but_now_...._you_know_I_got_fired_again...
str_npc41_backstory_later {!}
str_npc42_backstory_later Chief,_I've_been_at_{s20}_since_my_family_was_banned_from_the_Sarmatian_royal_court.
str_npc1_backstory_response_1 Perhaps._But_how_do_I_know_that_there_won't_be_a_'misunderstanding'_about_one_of_my_horses?
str_npc2_backstory_response_1 Well,_perhaps_I_could_offer_you_work._Can_you_fight?
str_npc3_backstory_response_1 Well,_as_it_happens_I_am_currently_searching_for_warriors.
str_npc4_backstory_response_1 I_run_such_a_warband,_and_might_be_able_to_hire_an_extra_hand.
str_npc5_backstory_response_1 That's_the_spirit!_I_might_be_able_to_offer_you_something.
str_npc6_backstory_response_1 You_could_join_us._Right_wrongs,_fight_oppressors,_redeem_yourself,_that_kind_of_thing.
str_npc7_backstory_response_1 Hmm..._Are_you_by_any_chance_looking_for_work?
str_npc8_backstory_response_1 I_can_offer_you_opportunities_to_make_money_through_good_honest_fighting_and_pillaging.
str_npc9_backstory_response_1 Perhaps_you_would_like_to_join_my_company_for_a_while.
str_npc10_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_fighters.
str_npc11_backstory_response_1 What_will_you_do_now?
str_npc12_backstory_response_1 Well,_you_could_travel_with_us,_but_you'd_have_to_be_able_to_fight_in_our_battle_line.
str_npc13_backstory_response_1 I_might_be_able_to_use_an_extra_sword_in_my_company.
str_npc14_backstory_response_1 I_might_be_able_to_use_you_in_my_company.
str_npc15_backstory_response_1 Where_do_you_need_to_go?
str_npc16_backstory_response_1 I_might_be._What_can_you_do?
str_npc17_backstory_response_1 Good._You_can_be_useful_to_us.
str_npc18_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc19_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc20_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc21_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc22_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc23_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc24_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc25_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc26_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc27_backstory_response_1 I_could_certainly_do_with_a_iron-hearted_veteran_like_yourself_in_my_ranks
str_npc28_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc29_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc30_backstory_response_1 If_you're_looking_for_work,_I_can_use_experienced_soldiers.
str_npc31_backstory_response_1 {!}.
str_npc32_backstory_response_1 Very_well._You_can_apprentice_under_me.
str_npc33_backstory_response_1 You_can_join_my_force,_if_you_want.
str_npc34_backstory_response_1 I_can,_noble_Ligia._But_why_your_face_displays_such_sadness?
str_npc35_backstory_response_1 {!}
str_npc36_backstory_response_1 I_suppose_that_there's_always_a_job_for_skilled_officer_in_my_unit,_Christian_or_not.
str_npc37_backstory_response_1 Maybe_I_do_need_someone_to_register_all_my_exploits,_so_that_future_generations_will_learn_to_appreciate_my_mighty_in_the_battlefield.
str_npc38_backstory_response_1 Maybe,_tell_me,_why_should_I_take_the_risk?_What's_in_for_me?
str_npc39_backstory_response_1 {!}
str_npc40_backstory_response_1 Why_are_you_looking_for_work_at_all?_Why_you_left_your_previous_jobs?
str_npc41_backstory_response_1 {!}
str_npc42_backstory_response_1 I_am_always_looking_for_skilled_warriors!
str_npc1_backstory_response_2 I'll_do_no_such_thing._I_have_better_things_to_do_then_to_help_thieves_avoid_justice.
str_npc2_backstory_response_2 Hard_luck,_friend._Good_day_to_you.
str_npc3_backstory_response_2 Go_back_to_your_family,_lass._Fathers_must_always_be_obeyed.
str_npc4_backstory_response_2 No,_sorry,_I_haven't_heard_of_one.
str_npc5_backstory_response_2 Sigh.._So_long_as_you_hill_clans_fight_tribe_against_tribe,_you_will_remain_a_silly,_weak_people.
str_npc6_backstory_response_2 Away_with_you,_accursed_fraticide!
str_npc7_backstory_response_2 Actually,_I'm_rather_fond_of_the_place._Good_day_to_you.
str_npc8_backstory_response_2 A_Germanic_woman,_who_wants_her_'land'_back._Go_back_home_and_tend_your_hearth.
str_npc9_backstory_response_2 Some_of_my_best_friends_are_riff-raff._Good_day_to_you,_sir.
str_npc10_backstory_response_2 No_doubt_you_are_nothing_more_than_a_murderer._Good_day.
str_npc11_backstory_response_2 Very_interesting,_but_I_have_work_to_do.
str_npc12_backstory_response_2 Sorry._I_can't_take_on_any_new_hands.
str_npc13_backstory_response_2 No,_sorry._Nothing_I_can_do_for_you.
str_npc14_backstory_response_2 I'll_let_you_know_if_I_hear_of_anything._Good_day.
str_npc15_backstory_response_2 Sorry._I've_got_all_the_men_that_I_can_manage_right_now.
str_npc16_backstory_response_2 Sorry,_lass._You_sound_like_you_might_be_trouble.
str_npc17_backstory_response_2 I'd_prefer_not_to_take_the_risk._Good_bye.
str_npc18_backstory_response_2 Actually_I_don't_need_more_men.
str_npc19_backstory_response_2 Actually_I_don't_need_more_men.
str_npc20_backstory_response_2 Actually_I_don't_need_more_men.
str_npc21_backstory_response_2 Actually_I_don't_need_more_men.
str_npc22_backstory_response_2 Actually_I_don't_need_more_men.
str_npc23_backstory_response_2 Actually_I_don't_need_more_men.
str_npc24_backstory_response_2 Actually_I_don't_need_more_men.
str_npc25_backstory_response_2 Actually_I_don't_need_more_men.
str_npc26_backstory_response_2 Actually_I_don't_need_more_men.
str_npc27_backstory_response_2 I_have_no_need_for_an_old_cripple.
str_npc28_backstory_response_2 Actually_I_don't_need_more_men.
str_npc29_backstory_response_2 Actually_I_don't_need_more_men.
str_npc30_backstory_response_2 Actually_I_don't_need_more_men.
str_npc31_backstory_response_2 {!}.
str_npc32_backstory_response_2 I_don't_think_you_are_ready.
str_npc33_backstory_response_2 I_don't_think_you_are_ready.
str_npc34_backstory_response_2 Unfortunately,_I_have_no_place_for_Christians_in_my_party.
str_npc35_backstory_response_2 {!}
str_npc36_backstory_response_2 Unfortunately,_I_have_no_place_for_Christians_in_my_unit.
str_npc37_backstory_response_2 Go_back_to_your_desert_and_leave_me_alone.
str_npc38_backstory_response_2 Sorry,_your_problems_are_not_mine_responsiblity_lad,_good_luck_anyway..
str_npc39_backstory_response_2 {!}
str_npc40_backstory_response_2 That_sounds_too_fishy_for_my_taste._Farewell.
str_npc41_backstory_response_2 {!}
str_npc42_backstory_response_2 I_don't_need_more_men_right_now.
str_npc1_signup Master,_I'm_offended_that_you_would_even_think_such_a_thing._I'd_be_most_indebted_to_you,_and_you'll_see_that_I_show_my_gratitude.
str_npc2_signup Well,_I_will_confess_that_I_am_not_a_warrior_by_trade.
str_npc3_signup Do_you?_Well,_I_am_in_no_position_to_be_picky!_I_would_be_pleased_to_join_you.
str_npc4_signup Good!_I_look_forward_to_vanquishing_your_enemies.
str_npc5_signup Why,_that_is_a_most_generous_offer.
str_npc6_signup Yes!_You_must_have_been_sent_by_the_gods!_Lead_me_--_lead_me_away_from_darkness!
str_npc7_signup I_might_be._I_could_certainly_use_the_money.
str_npc8_signup Can_you?_I_shall_accept_your_offer.
str_npc9_signup A_mercenary_band?_As_I_said,_I_don't_think_that_this_would_be_what_I_want.
str_npc10_signup Are_you,_now?_Well,_that's_a_sight_better_than_being_crucified.
str_npc11_signup Why,_I'll_be_a_soldier_myself!_Help_my_old_hands_to_a_bit_of_loot_to_comfort_me_in_my_retirement._Two_boys_I_bore,_both_soldiers'_brats,_and_they_became_soldiers_themselves._One_had_his_head_split_by_a_Parthian_axe,_the_other_died_of_the_pox,_but_at_least_they_didn't_die_hungry.
str_npc12_signup As_I_told_you,_I_am_a_surgeon,_not_some_silk-robed_physician_who_has_never_touched_a_body._I_can_get_my_hands_dirty.
str_npc13_signup Indeed?_You_would_do_well_to_enlist_me.
str_npc14_signup I_would_be_pleased_to_ride_with_you,_at_least_for_a_little_while,_for_pay_and_a_share_of_any_loot.
str_npc15_signup A_village_near_Rome,_eventually,_but_I'd_welcome_the_opportunity_to_get_a_few_denars_in_my_pocket,_first,_so_I_don't_come_home_empty_handed._So_if_you_promise_me_food_and_a_share_of_the_loot,_I'd_be_happy_to_fight_with_you_for_a_while.
str_npc16_signup Well,_friend,_let_me_tell_you._I_may_not_know_how_to_read_and_write,_but_I_know_the_quickest_way_to_a_man's_heart_is_between_his_fourth_and_fifth_rib,_if_you_understand_me._
str_npc17_signup Hehe,_that's_what_I_wanted_to_hear._Now_listen_friend,_I_will_serve_you_well_and_I_will_lead_your_fleet_to_glory_if_necessary.
str_npc18_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc19_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc20_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc21_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc22_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc23_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc24_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc25_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc26_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc27_signup If_you_give_me_enough_enemies_to_fight_and_poor_plebians_to_train_then_we_shall_both_surely_be_content!
str_npc28_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc29_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc30_signup Very_good._I_am_sure_I_can_serve_you_well.
str_npc31_signup {!}.
str_npc32_signup Thank_you,_Dominus!_I_promise,_you_won't_regret_taking_me_on.
str_npc33_signup Sure,_sure,_I_would_be_stupid_if_I_didn't_use_this_opportunity._Thank_you_very_much,_Dominus!_I_promise,_you_won't_regret_taking_me_on.
str_npc34_signup I_just_miss_someone_I_love,_but_who_I_can't_be_with,_Marcus_Vinitius._He_is_a_Roman_tribunus._However,_due_to_me_being_Christ_and_due_to_a_few_misunderstandings_I_had_to_left_Aulus'_house_and_hide_from_Marcus._Though,_maybe_one_day,_we_will_meet_each_other_if_he_sees_the_light_of_Christ_in_his_heart._But_I_could_tell_you_a_bit_about_myself_now._I_would_be_a_worthy_companion_for_you.
str_npc35_signup {!}
str_npc36_signup Naturally,_as_an_experienced_officer,_I_have_an_understanding_of_military_tactics_and_enforcing_discipline._I_am_also_not_afraid_of_fighting,_myself,_if_that's_necessary.
str_npc37_signup Yes_my_noble_commander,_I_will_be_sure_to_register_your_victories_and_although_I'm_not_inclined_to_lie_but_only_for_you_I_can_let's_say_'turn_into_even_glorious'_your_feats._Well_if_Herodotus_did_so_with_the_Persian-Greek_Wars_why_can't_I_do_the_same_right?
str_npc38_signup Well_Dominus_despite_how_I_look_right_now_my_father_used_to_train_me,_I'm_very_good_with_a_sword_and_deadly_with_the_spear,_also_I_know_how_to_ride_horses._I_learned_about_military_history_and_also_how_to_read_and_to_write,_for_certain_I_can_always_be_useful.
str_npc39_signup {!}
str_npc40_signup Good_question..._Firstly,_I_am_looking_for_work_because_I_have_no_work_at_all._My_last_job_was_at_a_shop,_but_the_shop_keepers_husband_somehow_hated_me..._She_is_pretty_and_I_guess_she_liked_me_more_than_she_should_have...
str_npc41_signup {!}
str_npc42_signup That_is_perfect!_I_would_be_a_great_addition_to_your_guard._I_can_use_the_kontos_like_a_true_master._And_I_know_can_kill_any_men_in_a_duel._Though_I_am_not_sure_if_I_should_leave_my_mother_and_sisters_alone._But_I_would_send_them_all_the_money_I_earn_from_looting._Being_a_warrior_is_honest_work.
str_npc1_signup_2 I've_ridden_over_a_fair_amount_of_rough_country_in_my_time,_more_often_than_not_in_a_hurry._I'm_a_good_tracker_and_I've_got_a_good_eye_for_terrain._So_what_do_you_say?
str_npc2_signup_2 I'm_a_fast_learner._I_can_ride,_and_know_a_fair_bit_about_trade,_prices_and_such.
str_npc3_signup_2 I_think_you_would_find_I_would_be_a_most_valuable_addition_to_your_ranks._I_am_well_versed_in_the_classics_of_literature_and_can_declaim_several_of_the_epic_poems_of_my_people._I_play_the_lute_and_am_a_skilled_manager_of_household_servants.
str_npc4_signup_2 But_as_a_Lord_of_my_own_lands,_I_expect_to_be_in_a_position_of_command,_and_not_be_treated_as_one_of_the_common_warriors.
str_npc5_signup_2 I_shall_not_betray_you_--_so_long,_of_course,_as_you_do_your_duty_to_me_by_feeding_me,_paying_me,_and_not_dragging_my_miserable_hide_into_a_battle_where_there_is_no_chance_of_winning.
str_npc6_signup_2 I_am_well_practiced_in_the_arts_of_war_--_but_I_beg_you,_commander,_I_wish_to_use_my_skills_to_defend_the_innocent,_the_pure,_and_the_defenseless,_not_to_be_a_common_brigand_and_wreak_more_misery_than_I_have_already_wrought.
str_npc7_signup_2 But_let_your_followers_know_that_I_do_not_suffer_louts_and_brutes._Anyone_who_misbehaves_around_me_will_quickly_find_an_arrow_in_their_gullet.
str_npc8_signup_2 I_shall_be_pleased_to_fight_in_your_shield-wall._But_I_warn_you_--_if_you_ask_me_to_gather_the_firewood,_or_cook_a_meal,_you_will_not_like_the_consequences.
str_npc9_signup_2 But_I_urgently_need_money,_so_maybe_I_have_no_other_choice_--_Thus,_I_would_join_your_company_I_also_recognize_that_you_are_of_lower_birth_than_I,_there_is_no_shame_for_me_to_serve_under_an_experienced_captain_--_presuming,_of_course,_that_your_followers_do_not_become_too_familiar_with_me._I_assume_that_will_not_be_a_problem?
str_npc10_signup_2 You_won't_regret_taking_me_on,_{Brother/Sister}._I'm_a_dead_eye_with_a_bow_--_a_beautiful_weapon._You_must_know_I_am_from_Kreta,_and_thus_know_how_to_use_a_bow._I've_also_trained_more_raw_recruits_than_you've_had_hot_dinners,_begging_your_pardon._I_don't_toadie_to_the_high-born.
str_npc11_signup_2 I_know_how_to_swing_a_blade,_staunch_a_wound,_and_feed_an_army_on_the_march._It_would_be_a_foolish_captain_who_passed_up_the_opportunity_to_hire_an_experienced_campaigner_like_me!_Say,_{laddie/lassie},_don't_you_command_a_mercenary_company_of_your_own,_now?
str_npc12_signup_2 I_have_treated_every_variety_of_wound_that_can_be_inflicted_by_the_hand_of_man._But_have_inflicted_wounds_as_well_as_healed_them,_as_I_do_not_let_myself_dance_on_my_nose.
str_npc13_signup_2 Sword,_lance,_the_bow_--_my_skill_in_all_such_martial_pursuits_is_the_stuff_of_epic_verse.__Together_we_will_perform_such_feats_as_will_be_recounted_in_festivals_and_campfires,_in_filthy_taverns_and_in_the_halls_of_kings,_for_many_generations_to_come.
str_npc14_signup_2 I_am_a_skilled_swordsman,_and_I_can_also_instruct_your_men_in_fighting._But_I_warn_you_that_I_do_not_care_to_fight_for_a_leader_who_is_lax_in_discipline_with_{his/her}_men,_for_in_the_long_run_they_will_not_respect_a_soft_hand._
str_npc15_signup_2 Siegework_is_my_speciality,_although_I_reckon_can_handle_myself_well_enough_in_an_open_battle,_if_need_be._I_have_fought_in_many_wars_and_served_in_the_Roman_army_for_many_years.
str_npc16_signup_2 I_can_throw_knives,_in_addition_to_stabbing_with_them,_and_I'm_slippery_as_quicksilver._You'll_find_me_useful_in_a_fight,_I'll_warrant.
str_npc17_signup_2 And_the_best_think:_I'll_join_you_for_free,_due_to_..._several_reasons._It_doesn't_matter_at_all._But_I_expect_at_least_a_good_share_of_the_loot.
str_npc18_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc19_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc20_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc21_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc22_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc23_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc24_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc25_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc26_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc27_signup_2 Although_my_injury,_I_am_still_able_to_defeat_a_smelly_Dacian_warrior_in_a_fight._And_you_won't_find_anyone_who_is_better_at_training_soldiers_than_me!
str_npc28_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc29_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc30_signup_2 I_will_defend_you_with_my_life_and_I_will_help_you_to_manage_your_army.
str_npc31_signup_2 {!}.
str_npc32_signup_2 Lemonia_are_the_best_soldiers!
str_npc33_signup_2 Modia_are_the_best_soldiers!_Soon_you_will_discover_with_your_own_eyes_how_I_will_defeat_even_the_most_feared_barbarians_on_the_battlefield.
str_npc34_signup_2 As_a_hostage_to_Rome,_I_have_been_taught_about_Roman_culture_and_customs._I_can_recite_works_of_Homer_and_other_Greek_and_Roman_poets,_I_know_basics_of_mathematics,_can_read_and_write_and_know_about_Roman_law._But_most_importantly,_I_have_not_forgotten_customs_of_my_people_neither._And_as_pious_Christ,_I_have_attended_masses_and_met_with_famous_Paulus_too._And_you_should_also_now_that_I_never_part_from_Ursus._If_you_hire_me,_Ursus_will_join_too,_if_you_dismiss_me,_Ursus_will_leave_too._Wherever_you_will_send_me,_Ursus_will_follow_me.
str_npc35_signup_2 {!}
str_npc36_signup_2 However,_upon_becoming_Chrisitian,_I_understood_the_suffering,_the_common_people_need_to_expierience._War_destruction,_massacres,_starvation_-_all_of_this_brings_a_bad_toil_on_them._So,_I_would_expect_that_your_unit_won't_resort_to_these_barbaric_measures.
str_npc37_signup_2 Also_I'm_well_versed_in_diplomatic_aspects_and_politics_due_to_my_father's_teachings,_so_I_can_be_a_very_good_asset_for_you_and_can_handle_myself_in_battle_as_long_as_you_don't_put_me_into_a_deathtrap.
str_npc38_signup_2 And_you_see_I_will_work_for_you_immediately,_no_need_to_pay_me_anything_in_advance,_just_make_sure_I'm_safe_ok?
str_npc39_signup_2 {!}
str_npc40_signup_2 And_that_is_basically_the_reason_why_I_get_constantly_fired._Either_people_start_to_hate_me_say_I_am_weird_because_...._you_know_..._or_something_happens_with_some_woman,_you_know_....
str_npc41_signup_2 {!}
