5444
qstr_Recieved_damage_from Recieved_damage_from_fire!
qstr_One_may_travel_to_po One_may_travel_to_ports_in_Mare_Mediterraneum.
qstr_One_may_travel_to_por One_may_travel_to_ports_in_the_Pontos_Euxeinos.
qstr_Start_the_journey. Start_the_journey.
qstr_ou_don_t_have_enough ou_don't_have_enough_money!
qstr__and_your_troops _and_your_troops
qstr_There_is_a_ship_that There_is_a_ship_that_can_bring_you{s3}_to_the_port_of_{s1}_for_{reg1}_denars.
qstr_ERROR:_NOT_enough_ma ERROR:_NOT_enough_mayors!!
qstr_ERROR:_NOT_enough_vi ERROR:_NOT_enough_village_elders!!
qstr_Spearmen Spearmen
qstr_Skirmishers Skirmishers
qstr_Horse_Archers Horse_Archers
qstr_Support Support
qstr_Companions Companions
qstr_vSeason vSeason
qstr_vWindStrength vWindStrength
qstr_vWindDirection vWindDirection
qstr_Legio_XXII_Deiotaria Legio_XXII_Deiotariana
qstr_Rescue_Mathildiz. Rescue_Mathildiz.
qstr_Locked_door. Locked_door.
qstr_Clean_the_toilet. Clean_the_toilet.
qstr_Undress_yourself. Undress_yourself.
qstr_Dress_yourself. Dress_yourself.
qstr_GAME_HAS_NOTICED:_Yo GAME_HAS_NOTICED:_You_are_using_CHEATS!
qstr_ERROR_in_script_game ERROR_in_script_game_event_simulate_battle:_player_party_was_damaged_as_attacker!
qstr_ERROR_in_script_game_ ERROR_in_script_game_event_simulate_battle:_player_party_was_damaged_as_defender!
qstr__near_{s10} _near_{s10}
qstr_Your_caravan_sending Your_caravan_sending_{s12}_to_{s13}_has_been_looted{s10}!
qstr_Your_messenger_on_th Your_messenger_on_the_way_to_{s13}_has_been_ambushed{s10}!
qstr_Your_soldiers_patrol Your_soldiers_patrolling_{s13}_have_been_defeated{s10}!
qstr_A_scout_trying_to_ga A_scout_trying_to_gather_information_about_{s13}_has_been_slain{s10}!
qstr_The_{s44}_was_defeat The_{s44}_was_defeated!
qstr_Your_companion_{s44} Your_companion_{s44}_was_defeated.
qstr_Your_grain_transport Your_grain_transport_has_been_defeated!_You_must_organize_a_new_one.
qstr_Rebels_were_defeated Rebels_were_defeated._Stability_of_the_Empire_increases
qstr_{s1}_escapes_togethe {s1}_escapes_together_with_you.
qstr_{!}DEBUG_:_Prisoner_ {!}DEBUG_:_Prisoner_granted_parole
qstr_{!}DEBUG_:_Prisoner_n {!}DEBUG_:_Prisoner_not_offered_parole
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_The_rebellion_in_{s6 The_rebellion_in_{s67}__was_successful!
qstr_{!}DEBUG_:_Siege_att {!}DEBUG_:_Siege_attackers_are_running_away
qstr_{!}DEBUG:_{s1}_no_lo {!}DEBUG:_{s1}_no_longer_leads_a_party.
qstr_{!}DEBUG:_{s1}_is_no {!}DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_{!}DEBUG:_{s1}_is_now {!}DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_{s1}_is_now_a_prison {s1}_is_now_a_prisoner_of_{s2}.
qstr_{!}DEBUG:_{s1}_is_now_ {!}DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_Traits:_Vir_triumpha Traits:_Vir_triumphalis.^
qstr_{s49}^Family: {s49}^Family:
qstr_{s49}^^Lover:_{s12}. {s49}^^Lover:_{s12}.
qstr_{s49}^^Affairs:^ {s49}^^Affairs:^
qstr_{s12} {s12}
qstr_{s12}_and_{s11} {s12}_and_{s11}
qstr_{s12}_{s11} {s12},_{s11}
qstr_{s49}_{s11}. {s49}_{s11}.
qstr_{s54}_is_the_ruler_o {s54}_is_the_ruler_of_{s56}.
qstr_From_Olymp_she_looks From_Olymp,_she_looks_at_the_world.
qstr_Currently_he_lives_i Currently,_he_lives_in_Rome.
qstr_Currently_he_lives_in Currently,_he_lives_in_Alexandria.
qstr_He_travelles_around_ He_travelles_around_the_world_to_fight_in_the_arena.
qstr_{s0}^^Age:_{reg20}._ {s0}^^Age:_{reg20}._Renown:_{reg21}.
qstr_nowhere nowhere
qstr_It_is_a_senatorial_p It_is_a_senatorial_province,_governorship_expires_in_approximatly_{reg0}_days
qstr_It_is_an_imperial_pr It_is_an_imperial_province.
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{!}{s57}_{s58} {!}{s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_{!}^{s59} {!}^{s59}
qstr_Personality:_{reg3?S Personality:_{reg3?She:He}_seems_to_be_a_{s34}_person.
qstr_He_has_the_honorary_ He_has_the_honorary_title_of_{s44}
qstr_{s26}^Last_week_he_s {s26}^Last_week_he_spend_for_court,_servants,_cloths,_etc_{reg49}_denars
qstr_{s26}^Last_week_he_sp {s26}^Last_week_he_spend_for_his_family_{reg50}_denars
qstr_{s26}^Last_week_he_spe {s26}^Last_week_he_spend_for_his_love_affairs_{reg51}_denars
qstr_{s26}^Last_week_he_p {s26}^Last_week_he_paid_{reg52}_denars_imperial_tax.
qstr_{s26}^Last_week_he_d {s26}^Last_week_he_donated_{reg53}_denars_to_his_settlements.
qstr_governor governor
qstr_praefectus_praetorio praefectus_praetorio
qstr_legatus_legionis legatus_legionis
qstr_auxiliary_commander auxiliary_commander
qstr_chieftain chieftain
qstr_vassal vassal
qstr_noble noble
qstr_noblewoman noblewoman
qstr_He_commands_the_{s28 He_commands_the_{s28}.
qstr_{s53}_The_headquarte {s53}_The_headquarters_are_in_{s0}.
qstr_{s53}^^It_has_the_fo {s53}^^It_has_the_following_auxiliar_units_attached:
qstr_^{s28}_commanded_by_ ^{s28},_commanded_by_{s0}.
qstr_{s53}^{s29} {s53}^{s29}
qstr_He_commands_the_{s28} He_commands_the_{s28},_which_is_part_of_{s0}_(commanded_by_{s29}).
qstr_Cognomina:_{s1}^^{s0 Cognomina:_{s1}^^{s0}
qstr_The_town_of_{s50} The_town_of_{s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{!}{s50} {!}{s50}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2},_and_is_{reg1?your_capital:where_you_make_your_court}.^
qstr_{s51}_belongs_to_{s1} {s51}_belongs_to_{s1}_of_{s2},_and_is_where_{reg0?she:he}_makes_{reg0?her:his}_court.^
qstr_{s51}_belongs_to_{s1}_ {s51}_belongs_to_{s1}_of_{s2},_and_is_where_{reg0?she:he}_makes_{reg0?her:his}_home.^
qstr_{s51}_belongs_to_{s1}_o {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s51}_belongs_to_{s2 {s51}_belongs_to_{s2}_but_has_not_yet_been_granted_to_a_lord.^
qstr_{s51}_belongs_to_{s2} {s51}_belongs_to_{s2}.^
qstr_{s2}Its_market_town_ {s2}Its_market_town_is_{s8}.^
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{!}{s7}_{s8} {!}{s7},_{s8}
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}
qstr_{s2}^Treasury_of_the {s2}^Treasury_of_the_town_watch:_{reg1}_denars
qstr_{s2}^Its_wealth_is:_ {s2}^Its_wealth_is:_{reg1}
qstr_{s2}^^The_following_ {s2}^^The_following_buildings_have_been_constructed:
qstr_{s2}_{s0} {s2}_{s0},
qstr_{s2}^^The_following_d {s2}^^The_following_decrees_have_been_issued:
qstr_{s2}_{s48} {s2}_{s48},
qstr_{s2}^^Province:_{s49 {s2}^^Province:_{s49}
qstr_noone noone
qstr_{s9}_and_{s31} {s9}_and_{s31}
qstr_{!}{s9}_{s31} {!}{s9},_{s31}
qstr_{s9}_and_{s32} {s9}_and_{s32}
qstr_{!}{s9}_{s32} {!}{s9},_{s32}
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{!}{s9}_{s10} {!}{s9},_{s10}
qstr_Domestic_policy:_^^ Domestic_policy:_^^
qstr_{!}DEBUG_:_{s21}.^CH {!}DEBUG_:_{s21}.^CHEAT_MODE_ASSESSMENT:_{s14}^
qstr_{s0}^^Treasury:_{reg {s0}^^Treasury:_{reg1}._Debts:_{reg2}
qstr_{s0}^{s1}:_{reg1}. {s0}^{s1}:_{reg1}.
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_The_{s48}_are_ruled_ The_{s48}_are_ruled_by_{s49}^^Your_relation_with_them:_{reg33}^
qstr_{s0}^{s48} {s0}^{s48}
qstr_Your_realm__not_alli Your_realm_(not_allies_or_tributaries)_must_hold_the_following_settlements:^
qstr_{s0}^{s1}_currently_ {s0}^{s1}_currently_owned_by_{s2}.
qstr______*__{s10}^{s9} _____*)_{s10}^{s9}
qstr_Aut_Caesar_Aut_Nihil Aut_Caesar_Aut_Nihil_is_a_total_overhaul,_changing_nearly_every_aspect_of_basic_warband_game_play.^^The_mod_uses_also_a_modified_version_of_Diplomacy_4.3+_for_Steam.^^Additional_information_about_the_diplomacy_features_can_be_found_at:^^{s9}
qstr_{s0}^^A_list_of_all_ {s0}^^A_list_of_all_usefull_hot-keys_(for_battles_and_menus)_can_be_found_at_{s10}.
qstr_{s0}^^A_list_of_all_c {s0}^^A_list_of_all_companions_and_their_locations_can_be_found_at_{s10}.
qstr_{s0}^^A_list_of_all_p {s0}^^A_list_of_all_provinces,_their_settlements_and_their_abbreviations_can_be_found_at_{s10}.
qstr_{s0}^^At_game_start_ {s0}^^At_game_start_you_can_select_an_option_to_include_province_names_or_abbreviations_in_the_name_of_a_settlement._You_can_find_a_list_of_all_abbreviations_at_{s10}.
qstr_{s0}^^^Other_mod_fea {s0}^^^Other_mod_features_of_interest:^^{s9}
qstr_Every_town_fortress_ Every_town,_fortress_and_village_is_part_of_a_province._The_respective_province_can_be_seen_under_the_center_notes._A_full_list_of_all_provinces_and_their_respective_settlements_is_provided_here._^^List_of_provinces:
qstr_{s10}_{s9} {s10},_{s9}
qstr_{s10}_and_{s9} {s10}_and_{s9}
qstr_{s0}^*___{s10}^_____ {s0}^*)__{s10}^_____Consists_of:_{s9}.
qstr_Military_units_you_c Military_units_you_can_currently_hire_and_their_recruitment_locations:^
qstr_{s2}_{s1} {s2},_{s1}
qstr_{s0}^{s5}:_{s2} {s0}^{s5}:_{s2}
qstr_List_of_companions:^ List_of_companions:^
qstr_In_your_party. In_your_party.
qstr_Currenlty_roaming_ar Currenlty_roaming_around_the_world.
qstr_Is_most_likely_dead. Is_most_likely_dead.
qstr_Likely_in_{s2}__{s3} Likely_in_{s2}_({s3}).
qstr_Joins_together_with_ Joins_together_with_Ligia.
qstr_Joins_during_quest. Joins_during_quest.
qstr_{s0}^{s1}:_{s4} {s0}^{s1}:_{s4}
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Deliver_{reg5}_units Deliver_{reg5}_units_to_{s5}
qstr_This_arrows_are_pois This_arrows_are_poisoned_and_will_do_additional_damage.
qstr_The_crown_of_the_kin The_crown_of_the_king_of_Persia._A_sign_of_authority_and_leadership.^Improves_leadership_and_persuasion_skill.
qstr_Improves_leadership_ Improves_leadership_and_persuasion_skill.
qstr_Famous_and_exquisite Famous_and_exquisite_perfume._A_perfect_present_for_a_lady.
qstr_Increases_morale_dur Increases_morale_during_battle.
qstr__They_sing_of_him_fi 'They_sing_of_him_first_of_all_heroes'_-_Club_of_Donar,_the_great_thunderer.^Decorated_with_ornaments_and_made_out_of_gold._Thus_it_is_very_heavy.^Having_it_in_inventory_Improves_power_strike_skill.
qstr_The_double_crown_of_ The_double_crown_of_Egypt.^^Improves_leadership_and_persuasion_skill.
qstr_A_Carnyx_made_purely A_Carnyx_made_purely_of_gold.^Improves_tactics_skill.
qstr_Over_the_centuries_t Over_the_centuries_the_Getae_kings_collected_this_treasure._It_is_a_sign_of_wealth.^Improves_trade_skill.
qstr_A_fish_and_the_name_ A_fish_and_the_name_Chrestos_are_engraved_on_the_cup.
qstr_Statue_of_Al_Lat_god Statue_of_Al-Lat,_goddess_of_fertility.^It_is_said_that_a_woman_who_touches_the_statue_will_become_more_fertile,_but_also_more_gluttonous.^Increases_party_morale_if_you_are_not_worshipping_Christus_or_YHWH.
qstr_Statue_of_Mithras.^I Statue_of_Mithras.^Increases_party_morale_if_you_are_not_worshipping_Christus_or_YHWH.
qstr_Art_of_poop_by_Poopi Art_of_poop,_by_Poopienus,_is_a_humorous_collection_of_jokes_and_witty_observations,^_all_centered_around_the_universal_yet_comical_theme_of_toilet_humor._Playfully_irreverent,^_this_lighthearted_book_turns_everyday_toilet_experiences_into_laugh-out-loud_moments.
qstr_A_Mirror_richly_deco A_Mirror_richly_decorated_with_gold_and_gemstones_with_a_picture_of_Poppaea_Sabina_on_the_back_side.
qstr_Great_golden_menorah Great_golden_menorah_from_the_temple_in_Hierosolyma.^Increases_party_morale_if_you_worship_YHWH.
qstr_A_golden_bong.^Incre A_golden_bong.^Increases_party_morale.
qstr_Spatha_of_Arminius._ Spatha_of_Arminius._The_handle_is_made_out_of_wood_and_ivory._It_is_decorated_with_bronze_and_gold.
qstr_Bow_of_African_gods. Bow_of_African_gods.
qstr_Germanic_sword_from_ Germanic_sword_from_the_Heruli_tribe,_decorated_with_bronze_and_silver.
qstr_This_sword_is_decora This_sword_is_decorated_with_bronze,_ivory_and_silver._It_has_been_gifted_to_you_by_Freya.
qstr_Lavishly_decorated_s Lavishly_decorated_spatha._It_once_belonged_to_Augustus,_the_first_Princeps.
qstr_Lorica_musculata_of_ Lorica_musculata_of_Augustus,_first_Princeps.
qstr_Galea_with_golden_ma Galea_with_golden_mask._The_mask_is_made_from_the_gold_of_the_murdered_Roman_soldiers_in_Teuteburg.^The_gold_makes_the_helm_very_heavy.
qstr_Increases_party_spee Increases_party_speed_on_water.
qstr_Whisper_thin_silk_sa Whisper-thin_silk_said_to_have_belonged_to_the_fabled_Queen_of_Carthage,_radiating_an_air_of_timeless_allure.^Troops_love_to_sniff_at_it,_thus_increases_party_moral.
qstr_A_sea_sponge_fixed_o A_sea_sponge_fixed_on_a_stick._Can_be_used_for_anything._Be_creative.
qstr_Forged_by_Hephaestus Forged_by_Hephaestus,_legendary_shield_of_Zeus.
qstr_Nero_s_golden_Lyre!_ Nero's_golden_Lyre!_Equip_it_and_press_'O'_to_play_on_it.
qstr_Legendary_gladius_of Legendary_gladius_of_Julius_Caesar.
qstr_A_souvenir_from_Mame A_souvenir_from_Mamertinus'_party.
qstr_The_legendary_pilos_ The_legendary_pilos_helmet._It_is_said_that_the_owner_of_the_helm_is_the_leader_of_the_PILOS_religion.
qstr_The_prize_for_winnin The_prize_for_winning_the_Olympic_games.
qstr_Forged_by_Vulcanus_t Forged_by_Vulcanus,_thousands_of_years_ago.
qstr_Longinus_pierced_Chr Longinus_pierced_Christ's_side_with_this_lance.
qstr_Fur_of_the_mighty_li Fur_of_the_mighty_lion_Aslan.
qstr_Someone_stung_will_f Someone_stung_will_fall_in_love_with_the_first_person_they_see.
qstr_The_helm_of_Megas_Al The_helm_of_Megas_Alexandros._(+1_to_leadership)
qstr_The_armor_of_Megas_A The_armor_of_Megas_Alexandros._(+1_to_leadership)
qstr_The_magical_silver_s The_magical_silver_spear_of_Olyndicus,_sent_by_the_gods_from_the_sky.
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_read
qstr_Reading_Progress:_{r Reading_Progress:_{reg1}%
qstr_wound_treament wound_treament
qstr_trainer trainer
qstr_surgery surgery
qstr_first_aid first_aid
qstr_pathfinding pathfinding
qstr_+1_to_{s1}_while_in_ +1_to_{s1}_while_in_inventory
qstr_item_score:{reg0}_va item_score:{reg0},_value:{reg1}
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr_Accompany Accompany
qstr_Find_landing_point Find_landing_point
qstr_Attach Attach
qstr_Inspect Inspect
qstr_Detach_{s1}_at_{reg1 Detach_{s1}_at_{reg1},{reg2}
qstr_Detach_All Detach_All
qstr_Win_Battle Win_Battle
qstr_Lose_Battle Lose_Battle
qstr_Player_on_water_with Player_on_water_without_ship
qstr_Fortuna_Imperatrix_M Fortuna_Imperatrix_Mundi^^O_Fortuna,^_velut_luna_^statu_variabilis_..._^_Fortune_plango_vulnera_...^^Ovid_describes_her_as_a_goddess_who_admits_by_her_unsteady_wheel_her_own_fickleness;_she_always_has_its_apex_beneath_her_swaying_foot.
qstr_Tetraites_is_a_famou Tetraites_is_a_famous_Roman_gladiator._He_is_well_known_for_his_victory_over_the_famous_Prudes.
qstr_Spiculus_is_a_famous Spiculus_is_a_famous_Roman_gladiator._Not_only_he_is_popular_with_regular_audiences,_but_he_is_also_greatly_admired_by_Caesar_Nero._Nero_has_even_awarded_him_with_many_treasuries.
qstr_Hermes_is_a_famous_R Hermes_is_a_famous_Roman_gladiator._He_is_well_trained_in_many_different_fighting_stiles._Also_the_famous_poet_Martial_praised_his_skills_in_his_poem_'On_Hermes,_A_Famous_Gladiator'.
qstr_Flamma_is_a_famous_R Flamma_is_a_famous_Roman_gladiator._Flamma_is_his_battle_name,_meaning_'flame'._Nobody_knows_his_real_name._He_was_a_Syrian_soldier_who_was_captured_by_Roman_troops.
qstr_Appuleius_Diocles_is Appuleius_Diocles_is_a_famous_Roman_racer._Due_to_his_many_victories_he_has_become_wealthy_and_renowned.
qstr_Scorpus_is_a_famous_ Scorpus_is_a_famous_Roman_racer._He_is_the_raising_star_of_horse_racing.
qstr_Marcus_Attilius_is_a Marcus_Attilius_is_a_famous_Roman_gladiator._The_newcomer_has_scored_many_victories_against_famous_veteran_gladiators.
qstr_Marcus_Valerius_Mart Marcus_Valerius_Martialis,_or_better_known_as_Martial,_is_a_famous_Roman_poet_and_writer_of_epigramms.
qstr_Decimus_Iunius_Iuven Decimus_Iunius_Iuvenalis,_or_better_known_as_Iuvenal,_is_a_famous_Roman_poet_and_author_of_the_satirical_poem-collection_known_as_the_Satires.
qstr_{s50}__{s61}_ {s50}_({s61})
qstr_{s50}__{s32}_ {s50}_({s32})
qstr_{!}DEBUG____Assigned {!}DEBUG_--_Assigned_lord_reputation_and_relations
qstr_{!}_{s61} {!}_{s61}
qstr_Relation_with_settle Relation_with_settlement:_{reg1}.
qstr_{s72} {s72}
qstr_{s73} {s73}
qstr_{!}DEBUG____ERROR:_M {!}DEBUG_--_ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_ERROR_at_do_merchant ERROR_at_do_merchant_town_trade,_invalid_party_trading
qstr_{!}DEBUG____Caravan_ {!}DEBUG_--_Caravan_trades_in_{s4},_originally_from_{s5}
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_{!}_DEBUG_loot_playe {!}_DEBUG_loot_player_items:_g_player_surrenders_=_{reg0},_merciful_=_{reg1}
qstr_{!}{s4}_is_sent_to_{ {!}{s4}_is_sent_to_{s5}_after_defeat
qstr_{!}DEBUGS_:_enemy_lo {!}DEBUGS_:_enemy_loses_:_{reg0}
qstr_{!}DEBUGS1_:_total_g {!}DEBUGS1_:_total_gain_:_{reg0}
qstr_{!}DEBUGS2_:_total_g {!}DEBUGS2_:_total_gain_:_{reg0}
qstr_{!}DEBUGS3_:_num_pla {!}DEBUGS3_:_num_player_party_shares:{reg0},_total_gain:{reg1}
qstr_killed killed
qstr_wounded wounded
qstr_{!}{reg3?{reg3}:}_{s {!}{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}_{reg3?{reg3} {!}{s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}^{reg3?{reg3} {!}{s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_{!}DEBUG____Checking {!}DEBUG_--_Checking_for_denounce_lord,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Rival_fo {!}DEBUG_--_Rival_found_in_{s4}
qstr_{!}DEBUG____{s4}_is_ {!}DEBUG_--_{s4}_is_not_close_friend_of_player
qstr_{!}DEBUG____{s4}_has {!}DEBUG_--_{s4}_has_{reg3}_rivals
qstr_{!}DEBUG____Checking_ {!}DEBUG_--_Checking_for_intrigue,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Trying_f {!}DEBUG_--_Trying_for_intrigue_against_lord
qstr_{!}DEBUG____{s4}_has_ {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_liege
qstr_{!}DEBUG____{s4}_has_s {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_giver_troop
qstr_{!}DEBUG____{s4}_has_su {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_player
qstr_{!}DEBUG____Checking_f {!}DEBUG_--_Checking_for_resolve_dispute,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Checking_fo {!}DEBUG_--_Checking_for_offer_gift,_eligible_in_{reg4}_days
qstr_{s0}_will_{reg0?not_ {s0}_will_{reg0?not_:}be_under_your_command
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{s1}_has_a_bugged_sl {s1}_has_a_bugged_slot_village_farmer_party_({reg1}),_reset_it_to_0
qstr_{s1}_has_a_bugged_slo {s1}_has_a_bugged_slot_center_has_latifundium_({reg1}),_reset_it_to_0
qstr_{!}DEBUG___{s4}_fact {!}DEBUG_-_{s4}_faction_changed_in_normal_faction_change
qstr_{!}DEBUG___{s4}_facti {!}DEBUG_-_{s4}_faction_changed_by_guardian_moving
qstr_Praefectus_Praetorio Praefectus_Praetorio
qstr_Legatus Legatus
qstr_Tribunus Tribunus
qstr_Proconsul Proconsul
qstr_Propraetor Propraetor
qstr_{s5}_of_the_{s7}_has {s5}_of_the_{s7}_has_taken_ownership_of_{s4}.
qstr_{s4}_has_been_awarde {s4}_has_been_awarded_to_{s5}_of_the_{s7}.
qstr_{!}DEBUG____{s4}_awa {!}DEBUG_--_{s4}_awarded_to_{s5}
qstr_{s1}_of_{s3}_has_bee {s1}_of_{s3}_has_been_released_from_captivity_by_{s2}.
qstr_Average_level_of_{s1 Average_level_of_{s1}:_{reg22},_size:_{reg33},_total_wage_paid:_{reg0}
qstr_We_have_Croesus_foun We_have_Croesus_found:_{s1}!
qstr_Report_this_event_to Report_this_event_to_the_creator_of_the_MOD!!
qstr_{s0}_from_{s1} {s0}_from_{s1}
qstr__Being_Raided_ (Being_Raided)
qstr__Deserted_ (Deserted)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_Captured_{reg1}_vill Captured_{reg1}_villagers.
qstr_The_village_of_{s1}_ The_village_of_{s1}_has_been_sacked_by_{s2}.
qstr_The_village_of_{s1}_h The_village_of_{s1}_has_been_looted_by_{s2}.
qstr_{reg22}_of_your_pris {reg22}_of_your_prisoners_escaped_in_{s40}!
qstr_{s2}_now_has_{reg2}_ {s2}_now_has_{reg2}_denars_from_raiding
qstr_{s60}_has_been_loote {s60}_has_been_looted,_you_won't_recieve_rents_from_your_latifundium_there.
qstr_Enemy_is_starving_an Enemy_is_starving_and_suffers_casualties.
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_{!}DEBUG_:_There_are {!}DEBUG_:_There_are_already_enemies_({s6})_inside_{s7}.
qstr_{!}DEBUG____Calculat {!}DEBUG_--_Calculating_sortie_for_{s4}_strength_of_{reg3}_vs_{reg4}_enemies
qstr_Small_bands_of_enemi Small_bands_of_enemies_spotted_near_{s1}.
qstr_Enemy_patrols_spotte Enemy_patrols_spotted_near_{s1}.
qstr_Medium_sized_group_o Medium-sized_group_of_enemies_spotted_near_{s1}.
qstr_Significant_group_of Significant_group_of_enemies_spotted_near_{s1}.
qstr_Army_of_enemies_spot Army_of_enemies_spotted_near_{s1}.
qstr_Large_army_of_enemie Large_army_of_enemies_spotted_near_{s1}.
qstr_Great_host_of_enemie Great_host_of_enemies_spotted_near_{s1}.
qstr_{!}DEBUG_:_{s7}_is_h {!}DEBUG_:_{s7}_is_helping_his_commander_by_fighting_with_{s6}.
qstr_party_set_ai_state_i party_set_ai_state_invalide_party_for_{s22}
qstr_{s1}_does_investment {s1}_does_investments_in_{s2}._He_gained_{reg0}_denars.
qstr_TAX_{s1}:_tax_paid_t TAX_{s1}:_tax_paid_to_imperial_treasury_{reg1}_denars_(of_{reg2}_total)
qstr_{s10}_has_enacted_th {s10}_has_enacted_the_decree_{s30}_in_{s4}.
qstr_{s10}_has_revoked_th {s10}_has_revoked_the_decree_{s30}_in_{s4}.
qstr_{s10}_constructs_a_{ {s10}_constructs_a_{s0}_in_{s4}_which_takes_{reg6}_days_and_costs_{reg7}_denars.
qstr_{s0}_collects_{reg0} {s0}_collects_{reg0}_denars_from_{s4},_current_wealth:_{reg1}_denars
qstr_{s10}_hires_{reg2}_{ {s10}_hires_{reg2}_{s12}_in_{s4}
qstr_{s10}_upgrades_{s3}{ {s10}_upgrades_{s3}{s11}_(costing_{s1})_in_{s4},_{reg0}_denars_remaining.
qstr_{s1}_spends_time_in_ {s1}_spends_time_in_{s2},_{reg1}_->_{reg2}_denars
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr__{s1}__{s11}:_{s14} ({s1})_{s11}:_{s14}
qstr_{s14}__{s21}_ {s14}_({s21})
qstr_Feast_concludes Feast_concludes
qstr_{!}DEBUG____Faction_ {!}DEBUG_--_Faction_resolves_political_issue
qstr_{!}DEBUG____{s4}_dro {!}DEBUG_--_{s4}_drops_{s5}_as_winner,_for_having_changed_sides
qstr_{s1}_is_the_new_mars {s1}_is_the_new_marshal_of_{s2}.
qstr__Base:_{reg57}. _Base:_{reg57}.
qstr_{s72}_Different_cult {s72}_Different_culture:_-3.
qstr_{s72}_Different_cultu {s72}_Different_culture:_0.
qstr_{s72}_Piety:_{reg57} {s72}_Piety:_{reg57}.
qstr_{s72}_Piety:_0. {s72}_Piety:_0.
qstr_{s73}_Personality:__ {s73}_Personality:_-3.
qstr_{s73}_Personality:__2 {s73}_Personality:_-2.
qstr_{s73}_Personality:__1 {s73}_Personality:_-1.
qstr_{s73}_Personality:_0 {s73}_Personality:_0.
qstr_{s73}_Reputation_eff {s73}_Reputation_effect:_{reg57}.
qstr_{s73}_Reputation_effe {s73}_Reputation_effect:_0.
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_You_may_lose_your_ho You_may_lose_your_honorary_title_as_Caesar_is_angry_with_you!
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved._(+{reg10})
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated._(-{reg10})
qstr_The_{s1}_will_no_lon The_{s1}_will_no_longer_pay_tribute_to_you!
qstr_The_{s5}_are_a_minor The_{s5}_are_a_minor_faction.
qstr_{!}_There_is_widespr {!}_There_is_widespread_ill-will_towards_you_in_the_{s1}.
qstr_Your_reputation_chan Your_reputation_changed._(+{reg10})
qstr_Your_reputation_chang Your_reputation_changed._(-{reg10})
qstr_{s1}_has_declared_wa {s1}_has_declared_war_against_{s2}.
qstr_{s35}_will_not_join_ {s35}_will_not_join_the_war_of_{s37}_against_{s36}_as_they_are_also_allied_with_them.
